rxns	rxnNames	index	formulas	growth1	growth2	growth3	growth4	growth5
r_2188	hexanoate exchange	2810	hexanoate[e] => 	0.764439765420164	0.592159103379834	0.412449715159781	0.230814058074121	0.0130362440967892
r_2189	oleate exchange	2811	oleate[e] => 	0.407812579201785	0.310086216635113	0.211481266597275	0.107225632523296	0.00428943704639551
r_2193	myristate exchange	2815	myristate[e] => 	0.507348393916105	0.389564885871679	0.26994386809305	0.139490071737268	0.00564921939393873
r_4043	raffinose exchange	3303	raffinose[e] => 	0	0	0	0	0
r_4044	melibiose exchange	3304	melibiose[e] => 	0	0	0	0	0
r_4062	lipid backbone exchange	3322	lipid backbone[c] => 	0.00157860924299769	0.00157860924294093	0.00157860923512451	0.00157860923512451	0.00157860924693864
r_4064	lipid chain exchange	3324	lipid chain[c] => 	5.03502377945957	3.81567403589789	2.59632429233316	1.30967484715761	0.0528426194957541
r_4442	cysteamine exchange	3682	cysteamine[e] => 	0	0	0	0	0
r_4494	methanol exchange	3730	methanol[e] => 	0	0	0	0	0
r_4496	Ala-Gly exchange	3732	Ala-Gly[e] => 	2.3479699951431	1.80480046756735	1.24310435686747	0.652787364575901	0.026114001278401
r_4497	3-oxalomalate(3-) exchange	3733	3-oxalomalate(3-)[e] => 	2	1.65340404363445	1.30680808727036	0.707919986345698	0.029314277155039
r_4498	6-O-alpha-D-glucopyranosyl-D-fructofuranose exchange	3734	6-O-alpha-D-glucopyranosyl-D-fructofuranose[e] => 	0	0	0	0	0
r_4499	5-dehydro-D-gluconate exchange	3735	5-dehydro-D-gluconate[e] => 	0	0	0	0	0
r_4500	D-tagatose exchange	3736	D-tagatose[e] => 	0	0	0	0	0
r_4501	turanose exchange	3737	turanose[e] => 	0	0	0	0	0
r_4502	D-glucose 6-phosphate exchange	3738	D-glucose 6-phosphate[e] => 	1.86118768212964	1.40374860315779	0.940333767170828	0.472570315942526	0.0189046273021958
r_4503	alpha-maltotriose exchange	3739	alpha-maltotriose[e] => 	0	0	0	0	0
r_4504	D-glucose 1-phosphate exchange	3740	D-glucose 1-phosphate[e] => 	1.86118768212964	1.40374860316012	0.940333767172545	0.472570315949982	0.0189046273052687
r_4505	methyl alpha-D-glucopyranoside exchange	3741	methyl alpha-D-glucopyranoside[e] => 	0	0	0	0	0
r_4506	D-Glucosamine exchange	3742	D-Glucosamine[e] => 	0	0	0	0	0
r_4507	glycerone exchange	3743	glycerone[e] => 	3.69095483995406	2.7756330518205	1.86031126369025	0.944989475434658	0.0381407373609058
r_4508	Ala-Gln exchange	3744	Ala-Gln[e] => 	0	0	0	0	0
r_4509	Ala-Leu exchange	3745	Ala-Leu[e] => 	1.05498961206492	0.811991316766333	0.555717507655027	0.282809667534653	0.0114119007968939
r_4510	Gly-Gln exchange	3746	Gly-Gln[e] => 	0	0	0	0	0
r_4511	Ala-His exchange	3747	Ala-His[e] => 	0	0	0	0	0
r_4512	Gly-Asn exchange	3748	Gly-Asn[e] => 	0	0	0	0	0
r_4513	Ala-Glu exchange	3749	Ala-Glu[e] => 	0	0	0	0	0
r_4514	Gly-Met exchange	3750	Gly-Met[e] => 	0	0	0	0	0
r_4515	Ala-Asp exchange	3751	Ala-Asp[e] => 	0	0	0	0	0
r_4516	Gly-Glu exchange	3752	Gly-Glu[e] => 	0	0	0	0	0
r_4517	Ala-Thr exchange	3753	Ala-Thr[e] => 	0	0	0	0	0
r_4518	Met-Ala exchange	3754	Met-Ala[e] => 	1.04277282515094	0.786879421512887	0.526119496039005	0.26510299208982	0.0106051376689053
r_4519	L-citrulline exchange	3755	L-citrulline[e] => 	1.07460384918842	0.839246190102744	0.597973743191117	0.346939917280342	0.0165238355764988
r_4520	2-aminobutanoate exchange	3756	2-aminobutanoate[e] => 	2.41540550220306	1.8115547305008	1.20770395880693	0.603853187103623	0.0241564462538129
r_4521	choline phosphate exchange	3757	choline phosphate[e] => 	1.21284395706804	0.916938754604352	0.611328332545117	0.305717910484476	0.0123319053058032
r_4522	glycerol 1-phosphate exchange	3758	glycerol 1-phosphate[e] => 	0	0	0	0	0
r_4523	2-phospho-D-glyceric acid exchange	3759	2-phospho-D-glyceric acid[e] => 	4	3.23630456458285	2.17837070087397	1.10482709719676	0.0445198725256521
r_4524	GMP exchange	3760	GMP[e] => 	1.13573677696955	0.85536954151042	0.575002306053123	0.292831033017604	0.0118762319362052
r_4525	3-phospho-serine exchange	3761	3-phospho-serine[e] => 	4	3.05251551794483	2.08435955344228	1.06766899714069	0.0429804198281297
r_4526	O-phosphonatooxy-D-serine(2-) exchange	3762	O-phosphonatooxy-D-serine(2-)[e] => 	4.00000000000038	3.30680808726708	2.35143447957657	1.19386286998047	0.0482209177150246
r_4527	diphosphate exchange	3763	diphosphate[e] => 	56.1325333333333	42.5536443138525	28.9747552944784	15.3958662746314	1.93217865679892
r_4528	triphosphate exchange	3764	triphosphate[e] => 	0	0	0	0	0
r_4529	phosphoenolpyruvate exchange	3765	phosphoenolpyruvate[e] => 	4	3.23630456459699	2.17837070087783	1.10482709720019	0.0445198725341658
r_4530	N(omega)-phospho-L-arginine exchange	3766	N(omega)-phospho-L-arginine[e] => 	1.0429438453833	0.814520299165284	0.576156784691038	0.334104014034119	0.015633153995615
r_4531	carbamoyl phosphate exchange	3767	carbamoyl phosphate[e] => 	11.999999999999	9.56043879649447	6.43918948868864	3.31794018083845	0.158195296148053
r_4532	O-phosphoethanolamine exchange	3768	O-phosphoethanolamine[e] => 	0	0	0	0	0
r_4533	cysteamine S-phosphate exchange	3769	cysteamine S-phosphate[e] => 	0	0	0	0	0
r_4534	guanosine 2'-monophosphate exchange	3770	guanosine 2'-monophosphate[e] => 	0	0	0	0	0
r_4535	glycerol 2-phosphate(2-) exchange	3771	glycerol 2-phosphate(2-)[e] => 	0	0	0	0	0
r_4536	3'-GMP exchange	3772	3'-GMP[e] => 	0	0	0	0	0
r_4537	2-phosphoglycolate exchange	3773	2-phosphoglycolate[e] => 	0	0	0	0	0
r_4538	6-phospho-D-gluconate exchange	3774	6-phospho-D-gluconate[e] => 	1.99403202811578	1.50325579735195	1.01247956659097	0.513502674943551	0.020542078842985
