Var1	Var2	Var3	Var4	Var5_1	Var5_2	Var5_3	Var5_4	Var5_5	Var5_6	Var5_7	Var5_8	Var5_9	Var5_10	Var5_11	Var5_12	Var5_13	Var5_14	Var5_15	Var5_16	Var5_17	Var5_18	Var5_19	Var5_20	Var5_21	Var5_22	Var5_23	Var5_24	Var5_25	Var5_26	Var5_27	Var5_28	Var5_29	Var5_30	Var5_31	Var5_32	Var5_33	Var5_34	Var5_35	Var5_36	Var5_37	Var5_38	Var5_39	Var5_40	Var5_41	Var5_42	Var5_43	Var5_44	Var5_45	Var5_46	Var5_47	Var5_48	Var5_49	Var5_50	Var5_51	Var5_52	Var5_53	Var5_54	Var5_55	Var5_56	Var5_57	Var5_58	Var5_59	Var5_60	Var5_61	Var5_62	Var5_63	Var5_64	Var5_65	Var5_66	Var5_67	Var5_68	Var5_69	Var5_70	Var5_71	Var5_72	Var5_73	Var5_74	Var5_75	Var5_76	Var5_77	Var5_78	Var5_79	Var5_80	Var5_81	Var5_82	Var5_83	Var5_84	Var5_85	Var5_86	Var5_87	Var5_88	Var5_89	Var5_90	Var5_91	Var5_92	Var5_93
r_3320	PC phospholipase A2 (1-16:0, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylcholine (1-16:0, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphocholine (16:0)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3321	PC phospholipase A2 (1-16:1, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylcholine (1-16:1, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphocholine (16:1)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3322	PC phospholipase A2 (1-18:0, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylcholine (1-18:0, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphocholine (18:0)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3323	PC phospholipase A2 (1-18:1, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylcholine (1-18:1, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphocholine (18:1)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3324	PE phospholipase A2 (1-16:0, 2-16:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-16:0, 2-16:1)[lp] => H+[lp] + palmitoleate[lp] + 1-acylglycerophosphoethanolamine (16:0)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3325	PE phospholipase A2 (1-16:1, 2-16:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-16:1, 2-16:1)[lp] => H+[lp] + palmitoleate[lp] + 1-acylglycerophosphoethanolamine (16:1)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3326	PE phospholipase A2 (1-18:0, 2-16:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-18:0, 2-16:1)[lp] => H+[lp] + palmitoleate[lp] + 1-acylglycerophosphoethanolamine (18:0)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3327	PE phospholipase A2 (1-18:1, 2-16:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-18:1, 2-16:1)[lp] => H+[lp] + palmitoleate[lp] + 1-acylglycerophosphoethanolamine (18:1)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3328	PE phospholipase A2 (1-16:0, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-16:0, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphoethanolamine (16:0)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3329	PE phospholipase A2 (1-16:1, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-16:1, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphoethanolamine (16:1)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3330	PE phospholipase A2 (1-18:0, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-18:0, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphoethanolamine (18:0)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_3331	PE phospholipase A2 (1-18:1, 2-18:1), lipid particle	Seq_2377	H2O[lp] + phosphatidylethanolamine (1-18:1, 2-18:1)[lp] => H+[lp] + oleate[lp] + 1-acylglycerophosphoethanolamine (18:1)[lp]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_4039	succinyl-CoA:acetate CoA transferase	Seq_4679	acetate[m] + succinyl-CoA[m] <=> acetyl-CoA[m] + succinate[m]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_4042	raffinose invertase	Seq_3213	raffinose[e] => D-fructose[e] + melibiose[e]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_4045	uridine hydrolase	Seq_3773	H2O[c] + uridine[c] => D-ribose[c] + uracil[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0964	reduced glutathione via ABC system	Seq_1236 or Seq_2231 or Seq_3160 or Seq_3372 or Seq_3625 or Seq_398 or Seq_5017 or Seq_5227 or Seq_580 or Seq_620	ATP[c] + glutathione[c] + H2O[c] => ADP[c] + glutathione[v] + H+[c] + phosphate[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1028	taurcholate via ABC system	Seq_1236 or Seq_2231 or Seq_3160 or Seq_3372 or Seq_3625 or Seq_398 or Seq_5017 or Seq_5227 or Seq_580 or Seq_620	ATP[c] + H2O[c] + taurocholic acid[c] => ADP[c] + H+[c] + phosphate[c] + taurocholic acid[v]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1085	V-ATPase, Golgi	(Seq_692 and Seq_296 and Seq_2011 and Seq_3751 and Seq_3242 and Seq_4241 and Seq_3757 and Seq_2917 and Seq_1285 and Seq_135 and Seq_767 and Seq_3186 and Seq_2093) or (Seq_692 and Seq_296 and Seq_2011 and Seq_3751 and Seq_3242 and Seq_4241 and Seq_3757 and Seq_2917 and Seq_1285 and Seq_5307 and Seq_767 and Seq_3186 and Seq_2093)	ATP[c] + H+[c] + H2O[c] => ADP[c] + 2 H+[g] + phosphate[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1086	V-ATPase, vacuole	(Seq_692 and Seq_296 and Seq_2011 and Seq_3751 and Seq_3242 and Seq_4241 and Seq_3757 and Seq_2917 and Seq_1285 and Seq_135 and Seq_767 and Seq_3186 and Seq_2093) or (Seq_692 and Seq_296 and Seq_2011 and Seq_3751 and Seq_3242 and Seq_4241 and Seq_3757 and Seq_2917 and Seq_1285 and Seq_5307 and Seq_767 and Seq_3186 and Seq_2093)	ATP[c] + H+[c] + H2O[c] => ADP[c] + 2 H+[v] + phosphate[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1096	(R)-mevalonate transport		(R)-mevalonate[e] <=> (R)-mevalonate[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.90605289984172e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1097	(R,R)-butanediol transport		(R,R)-2,3-butanediol[c] <=> (R,R)-2,3-butanediol[e]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1098	2-methylbutyl transport		2-methylbutyl acetate[c] => 2-methylbutyl acetate[e]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1099	2-oxoadipate and 2-oxoglutarate transport	Seq_4856	2-oxoadipic acid[m] + 2-oxoglutarate[c] <=> 2-oxoadipic acid[c] + 2-oxoglutarate[m]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1100	3-hexaprenyl-4,5-dihydroxybenzoate transport		3-hexaprenyl-4,5-dihydroxybenzoic acid[c] <=> 3-hexaprenyl-4,5-dihydroxybenzoic acid[m]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1101	4-aminobutyrate transport	Seq_2137 or Seq_4014 or Seq_4372 or Seq_5337 or Seq_695	gamma-aminobutyrate[e] + H+[e] => gamma-aminobutyrate[c] + H+[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1102	5-aminolevulinate transport	Seq_2137 or Seq_4014 or Seq_695	5-aminolevulinate[e] + H+[e] => 5-aminolevulinate[c] + H+[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1103	5-formyltetrahydrofolic acid transport		5-formyltetrahydrofolic acid[e] <=> 5-formyltetrahydrofolic acid[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1106	acetate transport	Seq_2389 or Seq_3913	acetate[c] <=> acetate[e]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1107	acetic ester transport		ethyl acetate[c] => ethyl acetate[e]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1108	adenine transport	Seq_2544 or Seq_1825	adenine[e] + H+[e] => adenine[c] + H+[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1110	ADP/ATP transporter	Seq_608	ADP[c] + ATP[m] <=> ADP[m] + ATP[c]	0	101.499973928571	101.49997392857	101.49997392857	87.9998955099026	101.499973928571	89.3333194285714	101.499973928572	101.49997392857	101.499973928572	101.499973928571	101.499973928572	101.499973928571	101.499973928572	101.499973928572	101.499973928571	101.499973928571	56.4980776686183	100.235961457503	101.499973928572	101.499973928571	101.499973928569	107.2	0	101.499827816366	101.499973928572	101.499973928577	101.499973928571	101.499973928567	101.499973928572	101.499973928571	101.499973928574	101.499973928571	101.499973928572	101.499973928572	101.499973928572	101.499973928572	0.962263188679245	101.499973928572	1.09404279310345	101.499973928572	101.499973928572	101.499973928572	101.499973928571	101.499973928572	101.499973928571	89.3333194285719	101.49997392857	107.199958954014	101.499973928571	98.1817119999996	101.499973928571	101.499973928572	101.499973928572	101.499973928571	101.499973928571	101.499973928571	101.499973928572	23.7947401665452	101.49997392857	101.499973928571	101.499973928569	101.499973928571	101.499973928573	101.499973928569	101.499973928571	89.3333194285715	101.499973928572	101.499973928571	101.499973928572	0.962263188679246	89.3333192425603	101.499964987305	101.499973928571	87.9999106250009	101.49997392857	101.499973928572	101.499973928571	101.499973928571	89.333319428572	101.499973928571	101.499973928571	101.499973928572	101.499973928571	101.499973928572	101.499973928571	107.1999808	101.499973928571	101.49984531318	101.499973928572	101.499973928571	101.499973928575	101.499973928572
r_1111	ADP/ATP transporter	Seq_1998	ADP[p] + ATP[c] + H+[p] => ADP[c] + ATP[p] + H+[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
