exchRxns	exchNames	allGrowthRates
r_2044	S-methyl-L-methionine exchange	75.7286095040408
r_2046	sn-glycero-3-phosphocholine exchange	75.7286095040408
r_2049	sodium exchange	75.7286095040408
r_2051	spermidine exchange	75.7286095040408
r_2052	spermine exchange	75.7286095040408
r_2055	stearate exchange	75.7286095040408
r_2056	succinate exchange	75.6200319890013
r_2058	sucrose exchange	75.6200319890013
r_2060	sulphate exchange	75.6200319890013
r_2061	sulphite exchange	75.6200319890013
r_2062	taurine exchange	75.6200319890013
r_2066	thiamine(1+) diphosphate(1-) exchange	75.6200319890013
r_2067	thiamine(1+) exchange	75.6200319890013
r_2068	thiamine(1+) monophosphate exchange	75.6200319890013
r_2073	thymidine exchange	75.6164816804639
r_2083	tryptophol exchange	75.6164816804639
r_2090	uracil exchange	75.6164816804639
r_2091	urea exchange	75.6164816804639
r_2092	uridine exchange	75.6164816804639
r_2100	water exchange	75.6164816804639
r_2102	xanthosine exchange	75.6164816804639
r_2104	xylitol exchange	75.6164816804639
r_2106	zymosterol exchange	75.6164816804639
r_2111	growth	75.6164816804639
r_2134	14-demethyllanosterol exchange	75.6164816804639
r_2137	ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange	75.6164816804639
r_2187	butyrate exchange	75.6164816804639
r_2188	hexanoate exchange	75.6164816804639
r_2189	oleate exchange	75.6164816804639
r_2193	myristate exchange	75.6164816804639
r_4043	raffinose exchange	74.791160896786
r_4044	melibiose exchange	74.791160896786
r_4062	lipid backbone exchange	74.791160896786
r_4064	lipid chain exchange	74.791160896786
r_4442	cysteamine exchange	74.791160896786
r_4494	methanol exchange	73.0865642792255
r_4496	Ala-Gly exchange	73.0865642792255
r_4497	3-oxalomalate(3-) exchange	68.9927216733774
r_4498	6-O-alpha-D-glucopyranosyl-D-fructofuranose exchange	68.9927216733774
r_4499	5-dehydro-D-gluconate exchange	68.9927216733774
r_4500	D-tagatose exchange	68.9927216733774
r_4501	turanose exchange	68.9927216733774
r_4502	D-glucose 6-phosphate exchange	68.9927216733774
r_4503	alpha-maltotriose exchange	68.9927216733774
r_4504	D-glucose 1-phosphate exchange	68.9512054045088
r_4505	methyl alpha-D-glucopyranoside exchange	68.9512054045088
r_4506	D-Glucosamine exchange	68.9512054045088
r_4507	glycerone exchange	68.9512054045088
r_4508	Ala-Gln exchange	68.9448816484368
r_4509	Ala-Leu exchange	68.4682935187624
r_4510	Gly-Gln exchange	68.3022216452635
r_4511	Ala-His exchange	67.949804502607
r_4512	Gly-Asn exchange	67.7305215643275
r_4513	Ala-Glu exchange	67.5457818355725
r_4514	Gly-Met exchange	67.5457818355725
r_4515	Ala-Asp exchange	67.1750394896016
r_4516	Gly-Glu exchange	66.7575617240066
r_4517	Ala-Thr exchange	59.5382668616119
r_4518	Met-Ala exchange	59.5382668616119
r_4519	L-citrulline exchange	59.3394573408275
r_4520	2-aminobutanoate exchange	59.1230039398296
r_4521	choline phosphate exchange	59.1230039398296
r_4522	glycerol 1-phosphate exchange	59.1230039398296
r_4523	2-phospho-D-glyceric acid exchange	59.1230039398296
r_4524	GMP exchange	59.099848438489
r_4525	3-phospho-serine exchange	55.2497313010462
r_4526	O-phosphonatooxy-D-serine(2-) exchange	55.2497313010462
r_4527	diphosphate exchange	55.2497313010462
